/*
 * this was generated with Python:
 *
 * [
 *   min(
 *     int(512 + math.sin(2 * math.pi * x / 1024) * 512),
 *     1023
 *   )
 *   for x in range(0, 1024)
 * ]
 */

512,
515,
518,
521,
524,
527,
530,
533,
537,
540,
543,
546,
549,
552,
555,
559,
562,
565,
568,
571,
574,
577,
580,
584,
587,
590,
593,
596,
599,
602,
605,
608,
611,
614,
618,
621,
624,
627,
630,
633,
636,
639,
642,
645,
648,
651,
654,
657,
660,
663,
666,
669,
672,
675,
678,
681,
684,
687,
690,
693,
696,
699,
702,
705,
707,
710,
713,
716,
719,
722,
725,
728,
730,
733,
736,
739,
742,
745,
747,
750,
753,
756,
758,
761,
764,
767,
769,
772,
775,
777,
780,
783,
785,
788,
791,
793,
796,
799,
801,
804,
806,
809,
811,
814,
816,
819,
822,
824,
826,
829,
831,
834,
836,
839,
841,
844,
846,
848,
851,
853,
855,
858,
860,
862,
865,
867,
869,
871,
874,
876,
878,
880,
882,
884,
887,
889,
891,
893,
895,
897,
899,
901,
903,
905,
907,
909,
911,
913,
915,
917,
919,
921,
923,
925,
926,
928,
930,
932,
934,
935,
937,
939,
941,
942,
944,
946,
947,
949,
951,
952,
954,
955,
957,
959,
960,
962,
963,
965,
966,
967,
969,
970,
972,
973,
974,
976,
977,
978,
980,
981,
982,
983,
985,
986,
987,
988,
989,
990,
991,
993,
994,
995,
996,
997,
998,
999,
1000,
1001,
1001,
1002,
1003,
1004,
1005,
1006,
1007,
1007,
1008,
1009,
1010,
1010,
1011,
1012,
1012,
1013,
1014,
1014,
1015,
1015,
1016,
1016,
1017,
1017,
1018,
1018,
1019,
1019,
1020,
1020,
1020,
1021,
1021,
1021,
1022,
1022,
1022,
1022,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1023,
1022,
1022,
1022,
1022,
1021,
1021,
1021,
1020,
1020,
1020,
1019,
1019,
1018,
1018,
1017,
1017,
1016,
1016,
1015,
1015,
1014,
1014,
1013,
1012,
1012,
1011,
1010,
1010,
1009,
1008,
1007,
1007,
1006,
1005,
1004,
1003,
1002,
1001,
1001,
1000,
999,
998,
997,
996,
995,
994,
993,
991,
990,
989,
988,
987,
986,
985,
983,
982,
981,
980,
978,
977,
976,
974,
973,
972,
970,
969,
967,
966,
965,
963,
962,
960,
959,
957,
955,
954,
952,
951,
949,
947,
946,
944,
942,
941,
939,
937,
935,
934,
932,
930,
928,
926,
925,
923,
921,
919,
917,
915,
913,
911,
909,
907,
905,
903,
901,
899,
897,
895,
893,
891,
889,
887,
884,
882,
880,
878,
876,
874,
871,
869,
867,
865,
862,
860,
858,
855,
853,
851,
848,
846,
844,
841,
839,
836,
834,
831,
829,
826,
824,
822,
819,
816,
814,
811,
809,
806,
804,
801,
799,
796,
793,
791,
788,
785,
783,
780,
777,
775,
772,
769,
767,
764,
761,
758,
756,
753,
750,
747,
745,
742,
739,
736,
733,
730,
728,
725,
722,
719,
716,
713,
710,
707,
705,
702,
699,
696,
693,
690,
687,
684,
681,
678,
675,
672,
669,
666,
663,
660,
657,
654,
651,
648,
645,
642,
639,
636,
633,
630,
627,
624,
621,
618,
614,
611,
608,
605,
602,
599,
596,
593,
590,
587,
584,
580,
577,
574,
571,
568,
565,
562,
559,
555,
552,
549,
546,
543,
540,
537,
533,
530,
527,
524,
521,
518,
515,
512,
508,
505,
502,
499,
496,
493,
490,
486,
483,
480,
477,
474,
471,
468,
464,
461,
458,
455,
452,
449,
446,
443,
439,
436,
433,
430,
427,
424,
421,
418,
415,
412,
409,
405,
402,
399,
396,
393,
390,
387,
384,
381,
378,
375,
372,
369,
366,
363,
360,
357,
354,
351,
348,
345,
342,
339,
336,
333,
330,
327,
324,
321,
318,
316,
313,
310,
307,
304,
301,
298,
295,
293,
290,
287,
284,
281,
278,
276,
273,
270,
267,
265,
262,
259,
256,
254,
251,
248,
246,
243,
240,
238,
235,
232,
230,
227,
224,
222,
219,
217,
214,
212,
209,
207,
204,
201,
199,
197,
194,
192,
189,
187,
184,
182,
179,
177,
175,
172,
170,
168,
165,
163,
161,
158,
156,
154,
152,
149,
147,
145,
143,
141,
139,
136,
134,
